Tue Dec 13 14:00:22 2022 Epoch 0, lr: 0.0001000, val loss: 166.47304, acc: 40.16000
Tue Dec 13 14:00:23 2022 Epoch 0, lr: 0.0001000, val loss: 202.02153, acc: 24.54000
Tue Dec 13 14:00:42 2022 Epoch 1, lr: 0.0001000, val loss: 150.24257, acc: 46.88000
Tue Dec 13 14:00:44 2022 Epoch 1, lr: 0.0001000, val loss: 189.73584, acc: 28.99000
Tue Dec 13 14:01:01 2022 Epoch 2, lr: 0.0001000, val loss: 138.12961, acc: 51.26000
Tue Dec 13 14:01:06 2022 Epoch 2, lr: 0.0001000, val loss: 177.47608, acc: 34.85000
Tue Dec 13 14:01:21 2022 Epoch 3, lr: 0.0001000, val loss: 130.15512, acc: 53.65000
Tue Dec 13 14:01:28 2022 Epoch 3, lr: 0.0001000, val loss: 168.07797, acc: 39.21000
Tue Dec 13 14:01:40 2022 Epoch 4, lr: 0.0001000, val loss: 126.04162, acc: 55.13000
Tue Dec 13 14:01:50 2022 Epoch 4, lr: 0.0001000, val loss: 162.70366, acc: 41.29000
Tue Dec 13 14:01:59 2022 Epoch 5, lr: 0.0000999, val loss: 123.93871, acc: 56.61000
Tue Dec 13 14:02:11 2022 Epoch 5, lr: 0.0000999, val loss: 154.34519, acc: 44.75000
Tue Dec 13 14:02:18 2022 Epoch 6, lr: 0.0000999, val loss: 117.18679, acc: 58.31000
Tue Dec 13 14:02:33 2022 Epoch 6, lr: 0.0000999, val loss: 150.61729, acc: 46.38000
Tue Dec 13 14:02:37 2022 Epoch 7, lr: 0.0000998, val loss: 116.05119, acc: 59.15000
Tue Dec 13 14:02:56 2022 Epoch 7, lr: 0.0000998, val loss: 150.71397, acc: 47.22000
Tue Dec 13 14:02:56 2022 Epoch 8, lr: 0.0000998, val loss: 110.33498, acc: 61.00000
Tue Dec 13 14:03:15 2022 Epoch 9, lr: 0.0000997, val loss: 109.93314, acc: 61.26000
Tue Dec 13 14:03:18 2022 Epoch 8, lr: 0.0000998, val loss: 145.55114, acc: 48.22000
Tue Dec 13 14:03:33 2022 Epoch 10, lr: 0.0000996, val loss: 110.46789, acc: 61.01000
Tue Dec 13 14:03:40 2022 Epoch 9, lr: 0.0000997, val loss: 140.48131, acc: 50.39000
Tue Dec 13 14:03:53 2022 Epoch 11, lr: 0.0000995, val loss: 105.01546, acc: 62.59000
Tue Dec 13 14:04:02 2022 Epoch 10, lr: 0.0000996, val loss: 138.35768, acc: 50.99000
Tue Dec 13 14:04:12 2022 Epoch 12, lr: 0.0000994, val loss: 104.06915, acc: 63.69000
Tue Dec 13 14:04:23 2022 Epoch 11, lr: 0.0000995, val loss: 135.86486, acc: 51.66000
Tue Dec 13 14:04:31 2022 Epoch 13, lr: 0.0000993, val loss: 99.88677, acc: 64.87000
Tue Dec 13 14:04:48 2022 Epoch 12, lr: 0.0000994, val loss: 134.43629, acc: 52.39000
Tue Dec 13 14:04:50 2022 Epoch 14, lr: 0.0000991, val loss: 99.85493, acc: 64.27000
Tue Dec 13 14:05:09 2022 Epoch 15, lr: 0.0000990, val loss: 98.09916, acc: 65.50000
Tue Dec 13 14:05:09 2022 Epoch 13, lr: 0.0000993, val loss: 132.58107, acc: 53.33000
Tue Dec 13 14:05:27 2022 Epoch 16, lr: 0.0000988, val loss: 95.03632, acc: 65.92000
Tue Dec 13 14:05:31 2022 Epoch 14, lr: 0.0000991, val loss: 129.29660, acc: 54.17000
Tue Dec 13 14:05:46 2022 Epoch 17, lr: 0.0000986, val loss: 94.73490, acc: 66.48000
Tue Dec 13 14:05:54 2022 Epoch 15, lr: 0.0000990, val loss: 129.68608, acc: 54.36000
Tue Dec 13 14:06:06 2022 Epoch 18, lr: 0.0000984, val loss: 93.08761, acc: 67.58000
Tue Dec 13 14:06:16 2022 Epoch 16, lr: 0.0000988, val loss: 125.67350, acc: 55.64000
Tue Dec 13 14:06:24 2022 Epoch 19, lr: 0.0000982, val loss: 93.05604, acc: 67.22000
Tue Dec 13 14:06:37 2022 Epoch 17, lr: 0.0000986, val loss: 124.68902, acc: 55.56000
Tue Dec 13 14:06:44 2022 Epoch 20, lr: 0.0000980, val loss: 92.45128, acc: 67.89000
Tue Dec 13 14:06:58 2022 Epoch 18, lr: 0.0000984, val loss: 125.88701, acc: 56.17000
Tue Dec 13 14:07:02 2022 Epoch 21, lr: 0.0000978, val loss: 92.02972, acc: 68.21000
Tue Dec 13 14:07:19 2022 Epoch 19, lr: 0.0000982, val loss: 122.31381, acc: 56.99000
Tue Dec 13 14:07:22 2022 Epoch 22, lr: 0.0000976, val loss: 91.81775, acc: 68.04000
Tue Dec 13 14:07:40 2022 Epoch 20, lr: 0.0000980, val loss: 121.47423, acc: 57.56000
Tue Dec 13 14:07:40 2022 Epoch 23, lr: 0.0000973, val loss: 87.59587, acc: 69.25000
Tue Dec 13 14:08:00 2022 Epoch 24, lr: 0.0000970, val loss: 86.96316, acc: 69.43000
Tue Dec 13 14:08:02 2022 Epoch 21, lr: 0.0000978, val loss: 119.43869, acc: 58.32000
Tue Dec 13 14:08:19 2022 Epoch 25, lr: 0.0000968, val loss: 86.20393, acc: 69.65000
Tue Dec 13 14:08:23 2022 Epoch 22, lr: 0.0000976, val loss: 121.19942, acc: 57.83000
Tue Dec 13 14:08:38 2022 Epoch 26, lr: 0.0000965, val loss: 85.95431, acc: 70.47000
Tue Dec 13 14:08:45 2022 Epoch 23, lr: 0.0000973, val loss: 119.21599, acc: 58.61000
Tue Dec 13 14:08:57 2022 Epoch 27, lr: 0.0000962, val loss: 82.25188, acc: 71.57000
Tue Dec 13 14:09:09 2022 Epoch 24, lr: 0.0000970, val loss: 117.34962, acc: 59.34000
Tue Dec 13 14:09:16 2022 Epoch 28, lr: 0.0000959, val loss: 84.63185, acc: 70.55000
Tue Dec 13 14:09:32 2022 Epoch 25, lr: 0.0000968, val loss: 116.11949, acc: 59.53000
Tue Dec 13 14:09:35 2022 Epoch 29, lr: 0.0000956, val loss: 84.61578, acc: 70.79000
Tue Dec 13 14:09:54 2022 Epoch 30, lr: 0.0000952, val loss: 83.10366, acc: 71.27000
Tue Dec 13 14:09:55 2022 Epoch 26, lr: 0.0000965, val loss: 114.11602, acc: 60.35000
Tue Dec 13 14:10:12 2022 Epoch 31, lr: 0.0000949, val loss: 81.16555, acc: 72.04000
Tue Dec 13 14:10:19 2022 Epoch 27, lr: 0.0000962, val loss: 115.17409, acc: 60.47000
Tue Dec 13 14:10:31 2022 Epoch 32, lr: 0.0000946, val loss: 83.45014, acc: 71.51000
Tue Dec 13 14:10:40 2022 Epoch 28, lr: 0.0000959, val loss: 113.58098, acc: 60.81000
Tue Dec 13 14:10:51 2022 Epoch 33, lr: 0.0000942, val loss: 80.26598, acc: 72.44000
